Erfolgreiches Produktmanagement: Tool-Box f�r das professionelle Produktmanagement und Produktmarketing;Springer Gabler;Klaus Aumayr;2016;;;;http://www.springer.com/de/book/9783658106683
Facilitating Organization Change: Lessons from Complexity Science;Pfeiffer;Edwin E. Olson;2001;;;;http://www.amazon.com/Facilitating-Organization-Change-Lessons-Complexity/dp/078795330X
Konflikt-Moderation in Gruppen - Eine Handlungsstrategie mit zahlreichen Fallbeispielen;Windm�hle;Alexander Redlich, Einhard Schrader;2009;;;;http://www.amazon.de/Konflikt-Moderation-Gruppen-Handlungsstrategie-zahlreichen-Fallbeispielen/dp/3937444181
Agile Database Technigues: Effective Strategies for Agile Software Developer;Wiley;Scott W. Ambler;2003;;;;http://www.amazon.com/Agile-Database-Techniques-Application-Development/dp/0471202835
Managing Software Reuse (A Comprehensive Guide to Strategically Reengineering the Organization for Reusable Components (2 Exemplare);Prentice Hall;Wayne C. Lim;1998;;;;http://www.amazon.de/Managing-Software-Reuse-Comprehensive-Strategically/dp/product-description/0135523737
Agile Estimating and Planning;Prentice Hall;Mike Cohn;2005;;;;http://www.amazon.de/Agile-Estimating-Planning-Robert-Martin/dp/0131479415
Object Oriented Reengineering Patterns (The Morgan Kaufmann Series in Softwar Engineering and Programming);Morgan Kaufmann;Serge Demeyer, St�phane Ducasse, Oscar Nierstrasz;2002;;;;http://www.amazon.de/Oriented-Reengineering-Patterns-Engineering-Programming/dp/1558606394/ref=sr_1_cc_1?s=aps&ie=UTF8&qid=1367311558&sr=1-1-catcorr&keywords=1558606394
Refactoring Databases. Evolutionary Database Design;Addison-Wesley Longman;Scott W. Ambler, Pramodkumar J. Sadalage;2011;;;;http://www.amazon.de/Refactoring-Databases-Evolutionary-Paperback-Addison-Wesley/dp/0321774515
Strategic Software Production With Domain-Oriented Reuse;Artech House Publishers;Paolo Predonzani, Giancarlo Succi, Tullio Vernazza;2000;;;;http://www.amazon.com/Strategic-Software-Production-Domain-Oriented-Reuse/dp/1580531040
The Object Primer: Agile Model-Driven Development with UML 2.0 (3 Edition);Cambridge University Press;Scott W. Ambler;2004;;;;http://www.amazon.com/Object-Primer-Agile-Model-Driven-Development/dp/0521540186
Pattern-Oriented Software Architecture, Volume 4 (POSA 4);John Wiley & Sons;Buschmann, Henney, Schmidt;2007;;;;http://www.amazon.de/Pattern-Oriented-Software-Architecture-Distributed-Computing/dp/0470059028
Expert Oracle JDBC Programming - Build scalable, high performance JDBC based applications with Orale Database 10g and 9i;Oak Table Press bzw. Apress;R. M. Menon;2005;;;;http://www.amazon.de/Oracle-JDBC-Performance-Applications-Oaktable/dp/159059407X/ref=sr_1_fkmr2_2?ie=UTF8&qid=1367315480&sr=8-2-fkmr2&keywords=Expert+Oracle+JDBC+Programming+-+Build+scalable%2C+high+performance+JDBC+based+applications+with+Orale+Database+10g+and+9i
Scaling Software Agility;Addison-Wesley;Dean Leffingwell;2007;;;;http://www.amazon.com/Scaling-Software-Agility-Practices-Enterprises/dp/0321458192
Organizational Patterns of Agile Software Development;Prentice Hall;James Coplien, Neil Harrison;2004;;;;http://www.amazon.de/Organizational-Patterns-Agile-Software-Development/dp/0131467409
Agile Retrospectives - Making Good Teams Great;Pragmatic Bookshelf;Esther Derby, Diana Larsen;2006;;;;http://www.amazon.com/Agile-Retrospectives-Making-Teams-Great/dp/0977616649
The Enterprise and Scrum;Microsoft Press;Ken Schwaber;2007;;;;http://www.amazon.de/The-Enterprise-Scrum-Ken-Schwaber/dp/0735623376
Fired up or burned out;Thomas Nelson;Michael Lee Stallard;2009;;;;http://www.amazon.com/Fired-Burned-Out-Michael-Stallard/dp/1595552812
The Fifth Discipline: The Art & Practice of the Learning Organization;Doubleday Business;Peter M. Senge;1999;;;;http://www.amazon.com/Fifth-Discipline-Peter-M-Senge/dp/0553456342
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change;Free Press;Stephen R. Covey;2004;;;;http://www.amazon.de/The-Habits-Highly-Effective-People/dp/0743269519
Continuous integration: Improving Software Quality and reducing risk;Addison-Wesley Signature Series;Paul M. Duvall;2007;;;;http://www.amazon.com/Continuous-Integration-Improving-Software-Reducing/dp/0321336380
ASN.1 Complete;Morgan Koufmann;John Larmouth;1999;;;;http://www.amazon.de/ASN-1-Complete-John-Larmouth/dp/0122334353
F�hren ohne Hierarchie Wie Sie ohne Vorgesetztenfunktion Teams motivieren, kritische Gespr�che f�hren, Konflikte l�sen;Gabler;Christian St�we Lara Keromosemito;2004;;;;http://www.amazon.de/F%C3%BChren-ohne-Hierarchie-Vorgesetztenfunktion-motivieren/dp/340912702X
Der neunte Schl�ssel;Haupt;Stephen Rietiker;2006;;;;http://www.amazon.de/Der-neunte-Schl%C3%BCssel-Projektmanagement-projektbewussten/dp/325807044X
Alle reden... ...keiner h�rt zu;Verlagshaus der �rzte;Bernd Chibici;2008;;;;http://www.amazon.de/Alle-reden-keiner-h%C3%B6rt-Aufmerksamkeit/dp/3902552360
Miteinander reden, Band 1: F�hrungskr�fte;Rowohlt Taschenbuch Verlag;Friedmann Schulz von Thun;2008;;;;a
Miteinander reden, Band 2:Stile, Werte und Pers�nlichkeitsentwicklung;Rowohlt Taschenbuch Verlag;Friedmann Schulz von Thun;2008;;;;a
"Miteinander reden, Band 3: Das ""innere Team"" und situationsgerechte Kommunikation";Rowohlt Taschenbuch Verlag;Friedmann Schulz von Thun;2010;;;;http://www.amazon.de/Miteinander-reden-Band-situationsgerechte-Kommunikation/dp/3499605457/ref=pd_bxgy_b_img_z
Changing the essence;Jossey-bass;Richard Beckhard, Wendy Pritchard;1992;;;;a
Praxishandbuch Produkt Management;campus;Erwin Matys;2001;;;;a
Facilitating Organization Change;Pfeiffer;Edwin Olson, Glenda Eoyang;2001;;;;a
